date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2025-12-02,2184f6ee6879b6e33c232a7a70291552,Under 136.5,7.2955315854342615,2,2,-110,w,Michigan St Spartans,Iowa Hawkeyes
2025-12-02,ad806629404cc679f4a5e78b16a498db,Over 151.5,6.0486910868463895,2,2,-116,w,George Mason Patriots,Cornell Big Red
2025-12-02,034b7fb85991e4656164ef3495549139,Under 127.5,4.954809087899626,2,2,-106,l,North Texas Mean Green,Houston Christian Huskies
2025-12-03,d582a2e720b74fcb38757429e6073353,Over 152.5,7.6631691367071175,7,7,-118,w,Denver Pioneers,Eastern Washington Eagles
2025-12-03,08fb02e11b33c636ddf2d6472b6def85,Over 150.5,6.766366561438133,7,7,-106,w,Florida Int'l Golden Panthers,Florida Gulf Coast Eagles
2025-12-03,3f5f16341044128dca4e1feb82152cd4,Under 145.5,6.396078238551951,7,7,-105,l,Santa Clara Broncos,Utah Tech Trailblazers
2025-12-03,aa622fd726cfcdcfb2e2b76f17f3aa4e,Under 148.5,3.8998394923921467,5,7,-116,l,Montana St Bobcats,St. Thomas (MN) Tommies
2025-12-03,652123ecbdcc695b467388b35c315e14,Under 139.5,3.5769945529469362,4,7,-116,w,Wofford Terriers,Presbyterian Blue Hose
2025-12-04,a64b452972ebb31845d4843f67702904,Under 142.5,3.0906248975880666,5,6,-110,w,UC Irvine Anteaters,UC Riverside Highlanders
2025-12-05,a98488e34490a4f1596ffedce6521b50,Under 135.5,7.258660516522654,17,17,-118,w,Marist Red Foxes,Mt. St. Mary's Mountaineers
2025-12-05,dcb6314931a4cefc8832845c9b743eeb,Kentucky Wildcats +5.5,6.101246279791317,17,17,-120,l,Kentucky Wildcats,Gonzaga Bulldogs
2025-12-05,8fdb07e2fc58b1f82171ed75556432bb,Under 133.5,3.50373786173761,12,17,-114,w,Saint Peter's Peacocks,Canisius Golden Griffins
2025-12-05,b810dee5646dd43c4e09cbd7f1db3877,Under 140.5,3.3443719219252177,13,17,-110,l,UConn Huskies,East Texas A&M Lions
2025-12-06,8cd6c01c62e09b38dbb44363fd654deb,La Salle Explorers +1.5,5.793589467023651,16,17,-118,w,La Salle Explorers,Drexel Dragons
2025-12-06,171e7f05428e0cf221fcdd6140756e16,Under 138.5,5.110923574661215,14,17,-108,l,Fordham Rams,Holy Cross Crusaders
2025-12-06,ba96e32c7853112d5a0070e1da3d692f,Over 169.5,4.106106069941075,11,17,-114,w,GW Revolutionaries,William & Mary Tribe
2025-12-06,817e74a301dd2093b48125e87f588e24,Over 148.5,3.428579537172443,10,17,-112,w,Eastern Washington Eagles,UMKC Kangaroos
2025-12-07,7ae17d118e5058e33feba9ade5317409,Over 161.5,5.929984713554242,17,17,-115,l,Stanford Cardinal,UNLV Rebels
2025-12-07,ad17cf2a579b02ff9c5823d944a0c963,Under 143.5,5.312380302798401,17,17,-110,l,Lipscomb Bisons,Alabama A&M Bulldogs
2025-12-08,b9e1fcdb9cb4b3338870c228adbd02b3,Southern Jaguars +21.5,4.359720149035638,13,13,-102,l,Texas Longhorns,Southern Jaguars
2025-12-08,e376767087aa37a69853cab09dfd8759,New Orleans Privateers +1.5,3.0631256415699903,10,13,-118,w,New Orleans Privateers,Incarnate Word Cardinals
2025-12-09,10afc633d6ca9f9b0c7682c25200fa3b,North Carolina Central Eagles +43.5,8.909975353581412,17,17,-110,w,Kentucky Wildcats,North Carolina Central Eagles
2025-12-09,820b27b277361d42d40dc79d59b6e147,Under 134.5,6.673356057407388,17,17,-110,l,Virginia Cavaliers,Maryland-Eastern Shore Hawks
2025-12-09,ccdd72400ba94036a16db9caf698000c,Over 146.5,5.059500524160415,16,17,-115,l,North Carolina A&T Aggies,Howard Bison
2025-12-10,909b7cd4cb3bfb33267f1459d822de20,Jackson St Tigers +40.5,6.70630395345461,17,18,-112,l,Houston Cougars,Jackson St Tigers
2025-12-10,97b9bb44d4f73a62901fb522c90d1bbb,Over 155.5,5.598134252462797,17,18,-115,l,Nebraska Cornhuskers,Wisconsin Badgers
2025-12-10,1cdf59bddf203a746c2f03cd6b307596,Under 142.5,5.417875587132624,16,18,-110,w,Purdue Boilermakers,Minnesota Golden Gophers
2025-12-10,f67cabd322f54073f06ef8066e8b6577,Under 148.5,4.467248329227626,15,18,-110,l,Baylor Bears,Norfolk St Spartans
2025-12-10,f67cabd322f54073f06ef8066e8b6577,Norfolk St Spartans +26.5,3.649934482575882,12,18,-110,l,Baylor Bears,Norfolk St Spartans
2025-12-12,fce0128d3adafdf0d2f3229cb20aad9c,UMBC Retrievers -6.5,3.2471907701999796,7,7,-110,l,UMBC Retrievers,Army Knights
2025-12-13,dbfde798f14a65e609dc6cd16276d48f,Under 126.5,7.494139240907804,19,19,-114,w,Louisiana Tech Bulldogs,Louisiana Ragin' Cajuns
2025-12-13,7dbb0eb51f566a82ad3bd4bcfe7885ff,Over 147.5,7.2107535843001145,19,19,-114,w,Delaware Blue Hens,CSU Northridge Matadors
2025-12-13,5564c6f862db4b590de3a593a3d9d660,Arizona St Sun Devils +2.5,4.18882680855976,14,19,-110,w,Arizona St Sun Devils,Santa Clara Broncos
2025-12-14,4dd427b86083a98b006c2a7c3ce3be3c,Under 141.5,5.944408548728352,19,19,-110,w,Charleston Cougars,Charlotte 49ers
2025-12-14,b1405e29637bfbae282494b5063795f5,Under 138.5,5.322140786702787,19,19,-115,w,Virginia Tech Hokies,Maryland-Eastern Shore Hawks
2025-12-14,9b2ff412ce80fb14a43b92099ef148b9,Over 152.5,3.6863021725406946,15,19,-106,w,Radford Highlanders,Coppin St Eagles
2025-12-15,e863fcfdc732b0021f9d03628591bae2,Over 153.5,4.559397161277129,16,16,-110,l,Gardner-Webb Bulldogs,Wofford Terriers
2025-12-16,a39013b58b9ad40a6e39a549a23431dd,Under 134.5,7.893779614694246,19,19,-105,w,Kansas Jayhawks,Towson Tigers
2025-12-16,f13ec713cae82d56e66058a508472cad,Under 174.5,7.781658742573027,19,19,-110,l,Arkansas Razorbacks,Queens University Royals
2025-12-16,c339b984660a44726b7cdd7f8d4c8bb4,Lipscomb Bisons +33.5,7.712098516080339,19,19,-110,w,Duke Blue Devils,Lipscomb Bisons
2025-12-16,a04a3dd732394a25a81a4d6f70e2034f,Under 138.5,4.535106214863217,15,19,-110,l,Georgia Tech Yellow Jackets,Marist Red Foxes
2025-12-17,7b98a7ffd33b02fe5be772f5633e1a8f,San Francisco Dons -12.5,6.2612182650520944,19,19,-120,w,San Francisco Dons,Loyola (Chi) Ramblers
