feature,importance
home_adjOffEff,2174.0
home_adjDefEff,1924.0
away_adjOffEff,1785.0
away_adjDefEff,1779.0
is_home,1163.0
home_effFgPct,1155.0
home_adjTempo,1142.0
home_defEffFgPct,1056.0
away_adjTempo,999.0
away_threesRate,992.0
home_trnvrPct,955.0
home_defRebPct,954.0
away_nonStlTrnvrRate,929.0
away_effFgPct,921.0
home_ftRate,921.0
home_ftPct,917.0
home_stlRate,912.0
home_blockPct,908.0
home_threesRate,908.0
away_ftPct,907.0
home_oppThreesRate,906.0
away_trnvrPct,905.0
away_ftRate,895.0
away_blockPct,893.0
home_nonStlTrnvrRate,884.0
away_defRebPct,878.0
away_oppThreesRate,871.0
away_benchRtg,870.0
home_threesPct,868.0
away_effHeight,867.0
home_benchRtg,858.0
away_offRebPct,858.0
away_stlRate,849.0
home_effHeight,840.0
home_expRtg,838.0
home_oppThreesPct,835.0
home_defFtRate,830.0
away_expRtg,821.0
home_offRebPct,817.0
away_contRtg,815.0
away_defFtRate,815.0
away_defEffFgPct,815.0
home_astRate,812.0
away_astRate,811.0
away_oppThreesPct,803.0
home_contRtg,751.0
away_threesPct,714.0
is_neutral,490.0
