feature,importance
home_adjOffEff,1656.0
home_adjTempo,1443.0
away_adjTempo,1346.0
home_adjDefEff,1327.0
away_adjOffEff,1273.0
away_adjDefEff,1198.0
home_effFgPct,1151.0
is_home,1090.0
home_threesRate,1042.0
away_ftPct,1028.0
home_nonStlTrnvrRate,1022.0
home_oppThreesRate,1007.0
away_defEffFgPct,995.0
home_ftRate,989.0
home_threesPct,986.0
home_ftPct,985.0
away_stlRate,974.0
away_threesRate,967.0
away_offRebPct,963.0
home_stlRate,961.0
away_ftRate,960.0
away_oppThreesPct,960.0
away_nonStlTrnvrRate,950.0
home_trnvrPct,948.0
away_defRebPct,945.0
home_astRate,943.0
home_offRebPct,941.0
home_defRebPct,936.0
away_effFgPct,935.0
home_oppThreesPct,934.0
home_defEffFgPct,934.0
away_effHeight,899.0
away_blockPct,896.0
away_oppThreesRate,892.0
home_defFtRate,884.0
away_defFtRate,883.0
away_astRate,881.0
home_effHeight,866.0
away_trnvrPct,865.0
home_blockPct,865.0
away_benchRtg,855.0
away_threesPct,854.0
home_benchRtg,845.0
away_contRtg,841.0
home_contRtg,833.0
home_expRtg,814.0
away_expRtg,813.0
is_neutral,445.0
