feature,coef
is_home,6.8670846245874415
home_adjOffEff,5.528564107007454
home_adjDefEff,4.985205895271978
is_neutral,3.4827848411648956
away_defEffFgPct,0.16798777593902958
home_effHeight,0.11776843895493302
away_stlRate,0.10320083240397525
away_defFtRate,0.10235215942827094
away_defRebPct,0.0981754305669121
away_ftPct,0.06105032341306667
away_oppThreesRate,0.05393669495095091
home_expRtg,0.04365010928273652
home_benchRtg,0.0426479566640801
home_trnvrPct,0.04195490121780612
away_contRtg,0.0373382010216039
away_nonStlTrnvrRate,0.03726666134568586
away_ftRate,0.03430541142828035
home_ftPct,0.017111076278495018
away_expRtg,0.002580049437565627
away_kpid,0.00022032505550977053
home_astRate,0.00010108559252892779
home_kpid,-0.0006387082797578282
home_nonStlTrnvrRate,-0.0055429904153284516
away_threesPct,-0.007891770092722999
away_blockPct,-0.01655718160120429
home_blockPct,-0.018404090779105275
away_offRebPct,-0.020534789251418255
home_defRebPct,-0.021637357622877357
home_adjTempo,-0.03048459803037651
home_defFtRate,-0.03155038138586879
away_adjTempo,-0.03411911181115184
home_defEffFgPct,-0.03978759488735323
away_effFgPct,-0.04149426697776622
home_threesRate,-0.04286950278441399
home_ftRate,-0.044165343544280374
home_oppThreesRate,-0.04520095633653202
away_threesRate,-0.04572558929009458
home_offRebPct,-0.04690671729409047
home_threesPct,-0.052628552320646435
away_oppThreesPct,-0.05848570956387787
home_effFgPct,-0.06323828647941412
home_stlRate,-0.06613202595764965
away_astRate,-0.07247920846487652
away_trnvrPct,-0.07810320874799098
home_oppThreesPct,-0.08888756093999395
home_contRtg,-0.09183632443410077
away_benchRtg,-0.108338890237568
away_effHeight,-0.13824572105393038
away_adjDefEff,-4.865614910005941
away_adjOffEff,-5.4553762505977295
