feature,coef
is_home,6.7440829980112715
home_adjOffEff,5.448166522420865
home_adjDefEff,4.951782534101227
is_neutral,3.528524998002039
away_defEffFgPct,0.19035574064411503
home_effHeight,0.1459731626933261
away_expRtg,0.07939652096993458
home_threesPct,0.0766040808890243
away_stlRate,0.06491537897652606
away_defRebPct,0.06001491941471967
home_nonStlTrnvrRate,0.05909041345842462
away_threesPct,0.056768545853702786
away_oppThreesRate,0.051753118743912536
away_nonStlTrnvrRate,0.046724384261078444
away_contRtg,0.036808082060938156
home_trnvrPct,0.02167235857882563
away_adjTempo,0.017106995748688538
home_expRtg,0.010810200342414821
home_astRate,0.01071221790853813
away_defFtRate,0.010451203382518492
home_defRebPct,0.008453232530167368
home_blockPct,0.00673376947964209
away_ftPct,0.0038416498579633127
home_adjTempo,-0.0038188987194673505
home_defEffFgPct,-0.008556998380611526
home_ftRate,-0.014905311701433395
home_oppThreesRate,-0.015388915021813481
away_blockPct,-0.02124139086045254
home_offRebPct,-0.029021353843359767
home_threesRate,-0.03402010860761514
away_ftRate,-0.03818110601148327
away_offRebPct,-0.045197314180666144
home_defFtRate,-0.046356769012976994
away_threesRate,-0.048235865235173064
home_contRtg,-0.05057973757569465
home_ftPct,-0.057129398169674404
home_stlRate,-0.06418232285520259
away_benchRtg,-0.08178759055606936
home_benchRtg,-0.08920423013170774
away_astRate,-0.10121167612318124
away_effFgPct,-0.11273190017586462
home_effFgPct,-0.11834789943434075
home_oppThreesPct,-0.12367380676075213
away_oppThreesPct,-0.13957102308268907
away_trnvrPct,-0.1428792147948744
away_effHeight,-0.1441709838620978
away_adjDefEff,-4.801040396272552
away_adjOffEff,-5.288360493939997
