feature,coef
is_home,6.866900739269237
home_adjOffEff,5.537511388978592
home_adjDefEff,4.971620891556996
is_neutral,3.4828157722170863
away_defEffFgPct,0.17058956102936873
home_effHeight,0.11823117331477545
away_stlRate,0.10560670102810099
away_defFtRate,0.1033983000387844
away_defRebPct,0.09739903943099956
away_ftPct,0.06137262496878326
away_oppThreesRate,0.05319258254170559
home_expRtg,0.04270443244422609
home_benchRtg,0.04230331353774564
home_trnvrPct,0.039670471280188926
away_nonStlTrnvrRate,0.03732895792269726
away_contRtg,0.0362678121819318
away_ftRate,0.03338051551946928
home_ftPct,0.01823591923078332
away_expRtg,0.0038842613016802953
home_nonStlTrnvrRate,-0.002099879959965453
home_astRate,-0.0038372399550390453
away_threesPct,-0.00848655621782119
home_defRebPct,-0.015785006833313815
away_blockPct,-0.01716230037618639
home_blockPct,-0.018244510691580444
away_offRebPct,-0.02128486104305786
home_defEffFgPct,-0.030831193967974572
home_adjTempo,-0.031344506581808575
home_defFtRate,-0.03267065889028169
away_adjTempo,-0.03337137555414136
home_threesRate,-0.03943405918289457
home_ftRate,-0.04427984184777183
away_threesRate,-0.04473842513832252
away_effFgPct,-0.045005028354591296
home_oppThreesRate,-0.046068778430610344
home_offRebPct,-0.0510102970345616
home_threesPct,-0.051736057573300874
away_oppThreesPct,-0.057523151585148306
home_stlRate,-0.061128502311884374
home_effFgPct,-0.0684122408382832
away_astRate,-0.07339381715612726
away_trnvrPct,-0.08070034296766346
home_oppThreesPct,-0.08944744092600301
home_contRtg,-0.0905586578379825
away_benchRtg,-0.10727034283962647
away_effHeight,-0.13878744241311872
away_adjDefEff,-4.869027129648466
away_adjOffEff,-5.449700774152389
