feature,coef
away_adjTempo,5.870208056600741
home_adjTempo,5.61354211200924
away_adjOffEff,3.963066088633045
home_adjOffEff,3.6573580472760545
home_effFgPct,0.7259524268771523
home_trnvrPct,0.4860945752222951
home_offRebPct,0.43107514276761527
away_offRebPct,0.3339236961439129
away_trnvrPct,0.33060836873813837
away_ftPct,0.32047989207661853
away_effFgPct,0.21289746955303887
home_ftRate,0.19318561212460222
away_astRate,0.17270049533316573
away_threesRate,0.14899920354979934
away_benchRtg,0.11056728444887617
home_threesRate,0.09764904108787695
away_expRtg,0.0949145984408163
home_threesPct,0.0693375188395506
home_expRtg,0.06441699685233147
home_blockPct,0.05568600660358089
home_oppThreesRate,0.05028358570414351
away_oppThreesRate,-0.0038218596966077436
away_defFtRate,-0.006425973970304369
away_blockPct,-0.007236193755940248
away_threesPct,-0.032087906285441954
away_ftRate,-0.034843670580567684
home_effHeight,-0.038544477877486
home_contRtg,-0.0544637137911185
home_oppThreesPct,-0.06286864172106718
home_ftPct,-0.069475057285075
away_effHeight,-0.06988680690171552
home_defFtRate,-0.07102721089735058
home_benchRtg,-0.07526629732067586
home_nonStlTrnvrRate,-0.08338904591756428
home_astRate,-0.11534918248306163
is_home,-0.1411589638292486
away_contRtg,-0.1796207721983739
home_defEffFgPct,-0.2010606628263646
away_oppThreesPct,-0.21907523870052129
away_defRebPct,-0.2668164332594814
home_defRebPct,-0.299855774585558
away_stlRate,-0.3194419290149475
away_nonStlTrnvrRate,-0.3279429879765709
home_stlRate,-0.34479213295005484
away_defEffFgPct,-0.4440876934208781
is_neutral,-1.5680912129173739
away_adjDefEff,-3.1346465640512045
home_adjDefEff,-3.8814036238580556
